<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;D;20180219;000000;305,2;308,3;304;306,5;838150;0
МТС-ао;D;20180220;000000;306,5;308;305,35;307,4;409060;0
МТС-ао;D;20180221;000000;307,2;315;304,25;313;1696810;0
МТС-ао;D;20180222;000000;312,25;314,8;311;311;1132130;0
МТС-ао;D;20180226;000000;312,8;319,5;312,15;315;2091320;0
МТС-ао;D;20180227;000000;314;319;313,4;316,1;936750;0
МТС-ао;D;20180228;000000;315,85;317,5;307,6;307,6;2855940;0
МТС-ао;D;20180301;000000;309,5;312,55;306,8;310,6;1270240;0
МТС-ао;D;20180302;000000;310,6;313;304,1;309,3;841360;0
МТС-ао;D;20180305;000000;309,95;316;309,2;315;698190;0
МТС-ао;D;20180306;000000;315,8;321;313,5;314;1729690;0
МТС-ао;D;20180307;000000;313,25;313,9;309,45;313,25;1084360;0
МТС-ао;D;20180309;000000;313,1;316,4;310,65;314,5;444310;0
МТС-ао;D;20180312;000000;315;318,6;309,85;313,5;1226790;0
МТС-ао;D;20180313;000000;312,05;318,35;311,85;318,15;1008920;0
МТС-ао;D;20180314;000000;317;317,95;313;313;1040060;0
МТС-ао;D;20180315;000000;313,35;319,75;310,6;312,25;4022220;0
МТС-ао;D;20180316;000000;312,5;316,85;311;316,85;1412390;0
МТС-ао;D;20180319;000000;315,9;318,8;312;318;1997820;0
МТС-ао;D;20180320;000000;318;318;307,45;308,1;2383690;0
МТС-ао;D;20180321;000000;309,9;310;306,5;307,65;1672220;0
МТС-ао;D;20180322;000000;307,9;309,75;299,65;300,1;1755240;0
МТС-ао;D;20180323;000000;299;300,95;295,35;295,5;2117770;0
МТС-ао;D;20180326;000000;295,75;296,35;290,85;292,85;3042950;0
МТС-ао;D;20180327;000000;294;295,15;291;292,3;1175000;0
МТС-ао;D;20180328;000000;291,3;295;288,2;295;1542450;0
МТС-ао;D;20180329;000000;294,1;297,3;291,55;293,3;1171340;0
МТС-ао;D;20180330;000000;294,05;297,75;293,65;294,15;597730;0
МТС-ао;D;20180402;000000;294,15;302,25;294,15;297,75;1368430;0
МТС-ао;D;20180403;000000;298;298,65;294,55;295,8;882690;0
МТС-ао;D;20180404;000000;297;298,2;290,7;292,4;1866800;0
